,date,true,predict
5289,2012-08-07,2157.62,2154.46533203125
5290,2012-08-08,2160.99,2158.0703125
5291,2012-08-09,2174.1020000000003,2163.63623046875
5292,2012-08-10,2168.814,2179.170654296875
5293,2012-08-13,2136.078,2173.98095703125
5294,2012-08-14,2142.525,2140.319580078125
5295,2012-08-15,2118.945,2146.814453125
5296,2012-08-16,2112.197,2120.791748046875
5297,2012-08-17,2114.891,2112.90283203125
5298,2012-08-20,2106.9570000000003,2113.882568359375
5299,2012-08-21,2118.268,2103.491455078125
5300,2012-08-22,2107.7110000000002,2114.922119140625
5301,2012-08-23,2113.072,2103.424072265625
5302,2012-08-24,2092.104,2108.302734375
5303,2012-08-27,2055.708,2086.7099609375
5304,2012-08-28,2073.154,2049.6396484375
5305,2012-08-29,2053.235,2067.814697265625
5306,2012-08-30,2052.585,2048.012939453125
5307,2012-08-31,2047.5220000000002,2047.689697265625
5308,2012-09-03,2059.147,2042.5093994140625
5309,2012-09-04,2043.649,2054.881103515625
5310,2012-09-05,2037.681,2038.3472900390625
5311,2012-09-06,2051.9179999999997,2031.859130859375
5312,2012-09-07,2127.762,2046.4381103515625
5313,2012-09-10,2134.893,2127.17919921875
5314,2012-09-11,2120.554,2139.280517578125
5315,2012-09-12,2126.554,2125.61474609375
5316,2012-09-13,2110.379,2133.82373046875
5317,2012-09-14,2123.847,2117.778076171875
5318,2012-09-17,2078.5,2131.756591796875
5319,2012-09-18,2059.5429999999997,2083.431396484375
5320,2012-09-19,2067.831,2062.4873046875
5321,2012-09-20,2024.8370000000002,2070.66259765625
5322,2012-09-21,2026.69,2023.9215087890625
5323,2012-09-24,2033.192,2020.417724609375
5324,2012-09-25,2029.293,2024.95068359375
5325,2012-09-26,2004.172,2020.97314453125
5326,2012-09-27,2056.323,1994.97509765625
5327,2012-09-28,2086.169,2049.61865234375
5328,2012-10-08,2074.419,2082.026611328125
5329,2012-10-09,2115.23,2073.384033203125
5330,2012-10-10,2119.942,2119.2734375
5331,2012-10-11,2102.868,2125.872314453125
5332,2012-10-12,2104.9320000000002,2111.58203125
5333,2012-10-15,2098.703,2114.46923828125
5334,2012-10-16,2098.808,2106.830078125
5335,2012-10-17,2105.618,2105.925537109375
5336,2012-10-18,2131.688,2113.29248046875
5337,2012-10-19,2128.302,2138.56982421875
5338,2012-10-22,2132.758,2132.34765625
5339,2012-10-23,2114.447,2136.606689453125
5340,2012-10-24,2115.99,2115.648193359375
5341,2012-10-25,2101.58,2116.3779296875
5342,2012-10-26,2066.209,2102.27783203125
5343,2012-10-29,2058.9429999999998,2064.725830078125
