Date,code,Close,pctChg,volume
1991-01-02,sh.000001,128.84,0.963871,9100
1991-01-03,sh.000001,130.14,1.009006,14100
1991-01-04,sh.000001,131.44,0.998927,42000
1991-01-07,sh.000001,132.06,0.471694,21700
1991-01-08,sh.000001,132.68,0.469480,292600
1991-01-09,sh.000001,133.34,0.497440,560300
1991-01-10,sh.000001,133.97,0.472480,999000
1991-01-11,sh.000001,134.6,0.470258,1332700
1991-01-14,sh.000001,134.67,0.052000,1253000
1991-01-15,sh.000001,134.74,0.051984,144600
1991-01-16,sh.000001,134.24,-0.371085,50900
1991-01-17,sh.000001,134.25,0.007445,65800
1991-01-18,sh.000001,134.24,-0.007445,300400
1991-01-21,sh.000001,134.24,0.000000,205100
1991-01-22,sh.000001,133.72,-0.387369,35400
1991-01-23,sh.000001,133.17,-0.411309,109500
1991-01-24,sh.000001,132.61,-0.420513,185700
1991-01-25,sh.000001,132.05,-0.422289,344700
1991-01-28,sh.000001,131.46,-0.446798,510700
1991-01-29,sh.000001,130.95,-0.387958,138700
1991-01-30,sh.000001,130.44,-0.389457,52700
1991-01-31,sh.000001,129.97,-0.360320,51000
1991-02-01,sh.000001,129.51,-0.353933,34500
1991-02-04,sh.000001,129.05,-0.355178,55300
1991-02-05,sh.000001,128.58,-0.364201,856200
1991-02-06,sh.000001,129.14,0.435525,664100
1991-02-07,sh.000001,129.79,0.503325,213300
1991-02-08,sh.000001,130.38,0.454589,123400
1991-02-11,sh.000001,130.97,0.452520,931700
1991-02-12,sh.000001,131.35,0.290146,377400
1991-02-13,sh.000001,131.92,0.433949,115200
1991-02-14,sh.000001,132.53,0.462402,362400
1991-02-19,sh.000001,133.13,0.452732,174800
1991-02-20,sh.000001,133.67,0.405614,87600
1991-02-21,sh.000001,134.28,0.456348,322000
1991-02-22,sh.000001,134.87,0.439378,342700
1991-02-25,sh.000001,134.4,-0.348485,81000
1991-02-26,sh.000001,133.93,-0.349703,109400
1991-02-27,sh.000001,133.47,-0.343457,21400
1991-02-28,sh.000001,133.01,-0.344652,225800
1991-03-01,sh.000001,132.53,-0.360872,712400
1991-03-04,sh.000001,131.99,-0.407450,251800
1991-03-05,sh.000001,131.46,-0.401545,98200
1991-03-06,sh.000001,130.94,-0.395561,71900
1991-03-07,sh.000001,130.41,-0.404765,56800
1991-03-08,sh.000001,129.89,-0.398746,93300
1991-03-11,sh.000001,129.31,-0.446533,51400
1991-03-12,sh.000001,128.77,-0.417596,95700
1991-03-13,sh.000001,126.15,-2.034637,49800
1991-03-14,sh.000001,125.63,-0.412211,32600
1991-03-15,sh.000001,125.17,-0.366154,79000
1991-03-18,sh.000001,124.71,-0.367499,125000
1991-03-19,sh.000001,124.22,-0.392910,89200
1991-03-20,sh.000001,123.66,-0.450811,67800
1991-03-21,sh.000001,123.12,-0.436682,15100
1991-03-22,sh.000001,122.62,-0.406108,20700
1991-03-25,sh.000001,122.12,-0.407764,44300
1991-03-26,sh.000001,121.62,-0.409433,116400
1991-03-27,sh.000001,121.12,-0.411117,66800
1991-03-28,sh.000001,120.61,-0.421072,96100
1991-03-29,sh.000001,120.19,-0.348228,218500
1991-04-01,sh.000001,120.73,0.449289,1199900
1991-04-02,sh.000001,121.21,0.397578,81600
